De 4094 a 4093 = |4094 - 4093| = 1
De 4093 a 4092 = |4093 - 4092| = 1
De 4092 a 4086 = |4092 - 4086| = 6
De 4086 a 4085 = |4086 - 4085| = 1
De 4085 a 4080 = |4085 - 4080| = 5
De 4080 a 4072 = |4080 - 4072| = 8
De 4072 a 4067 = |4072 - 4067| = 5
De 4067 a 4063 = |4067 - 4063| = 4
De 4063 a 4062 = |4063 - 4062| = 1
De 4062 a 4058 = |4062 - 4058| = 4
De 4058 a 4054 = |4058 - 4054| = 4
De 4054 a 4052 = |4054 - 4052| = 2
De 4052 a 4029 = |4052 - 4029| = 23
De 4029 a 4028 = |4029 - 4028| = 1
De 4028 a 4017 = |4028 - 4017| = 11
De 4017 a 4003 = |4017 - 4003| = 14
De 4003 a 4002 = |4003 - 4002| = 1
De 4002 a 3997 = |4002 - 3997| = 5
De 3997 a 3990 = |3997 - 3990| = 7
De 3990 a 3980 = |3990 - 3980| = 10
De 3980 a 3970 = |3980 - 3970| = 10
De 3970 a 3966 = |3970 - 3966| = 4
De 3966 a 3961 = |3966 - 3961| = 5
De 3961 a 3956 = |3961 - 3956| = 5
De 3956 a 3955 = |3956 - 3955| = 1
De 3955 a 3950 = |3955 - 3950| = 5
De 3950 a 3948 = |3950 - 3948| = 2
De 3948 a 3945 = |3948 - 3945| = 3
De 3945 a 3944 = |3945 - 3944| = 1
De 3944 a 3940 = |3944 - 3940| = 4
De 3940 a 3937 = |3940 - 3937| = 3
De 3937 a 3935 = |3937 - 3935| = 2
De 3935 a 3925 = |3935 - 3925| = 10
De 3925 a 3917 = |3925 - 3917| = 8
De 3917 a 3912 = |3917 - 3912| = 5
De 3912 a 3903 = |3912 - 3903| = 9
De 3903 a 3894 = |3903 - 3894| = 9
De 3894 a 3892 = |3894 - 3892| = 2
De 3892 a 3875 = |3892 - 3875| = 17
De 3875 a 3868 = |3875 - 3868| = 7
De 3868 a 3862 = |3868 - 3862| = 6
De 3862 a 3834 = |3862 - 3834| = 28
De 3834 a 3832 = |3834 - 3832| = 2
De 3832 a 3830 = |3832 - 3830| = 2
De 3830 a 3826 = |3830 - 3826| = 4
De 3826 a 3821 = |3826 - 3821| = 5
De 3821 a 3819 = |3821 - 3819| = 2
De 3819 a 3790 = |3819 - 3790| = 29
De 3790 a 3785 = |3790 - 3785| = 5
De 3785 a 3784 = |3785 - 3784| = 1
De 3784 a 3764 = |3784 - 3764| = 20
De 3764 a 3757 = |3764 - 3757| = 7
De 3757 a 3756 = |3757 - 3756| = 1
De 3756 a 3751 = |3756 - 3751| = 5
De 3751 a 3743 = |3751 - 3743| = 8
De 3743 a 3738 = |3743 - 3738| = 5
De 3738 a 3736 = |3738 - 3736| = 2
De 3736 a 3721 = |3736 - 3721| = 15
De 3721 a 3716 = |3721 - 3716| = 5
De 3716 a 3713 = |3716 - 3713| = 3
De 3713 a 3711 = |3713 - 3711| = 2
De 3711 a 3710 = |3711 - 3710| = 1
De 3710 a 3698 = |3710 - 3698| = 12
De 3698 a 3697 = |3698 - 3697| = 1
De 3697 a 3694 = |3697 - 3694| = 3
De 3694 a 3690 = |3694 - 3690| = 4
De 3690 a 3679 = |3690 - 3679| = 11
De 3679 a 3673 = |3679 - 3673| = 6
De 3673 a 3665 = |3673 - 3665| = 8
De 3665 a 3663 = |3665 - 3663| = 2
De 3663 a 3661 = |3663 - 3661| = 2
De 3661 a 3660 = |3661 - 3660| = 1
De 3660 a 3657 = |3660 - 3657| = 3
De 3657 a 3652 = |3657 - 3652| = 5
De 3652 a 3649 = |3652 - 3649| = 3
De 3649 a 3644 = |3649 - 3644| = 5
De 3644 a 3635 = |3644 - 3635| = 9
De 3635 a 3618 = |3635 - 3618| = 17
De 3618 a 3617 = |3618 - 3617| = 1
De 3617 a 3611 = |3617 - 3611| = 6
De 3611 a 3600 = |3611 - 3600| = 11
De 3600 a 3599 = |3600 - 3599| = 1
De 3599 a 3586 = |3599 - 3586| = 13
De 3586 a 3584 = |3586 - 3584| = 2
De 3584 a 3578 = |3584 - 3578| = 6
De 3578 a 3576 = |3578 - 3576| = 2
De 3576 a 3575 = |3576 - 3575| = 1
De 3575 a 3568 = |3575 - 3568| = 7
De 3568 a 3565 = |3568 - 3565| = 3
De 3565 a 3564 = |3565 - 3564| = 1
De 3564 a 3560 = |3564 - 3560| = 4
De 3560 a 3559 = |3560 - 3559| = 1
De 3559 a 3557 = |3559 - 3557| = 2
De 3557 a 3555 = |3557 - 3555| = 2
De 3555 a 3553 = |3555 - 3553| = 2
De 3553 a 3546 = |3553 - 3546| = 7
De 3546 a 3545 = |3546 - 3545| = 1
De 3545 a 3544 = |3545 - 3544| = 1
De 3544 a 3543 = |3544 - 3543| = 1
De 3543 a 3539 = |3543 - 3539| = 4
De 3539 a 3534 = |3539 - 3534| = 5
De 3534 a 3531 = |3534 - 3531| = 3
De 3531 a 3521 = |3531 - 3521| = 10
De 3521 a 3520 = |3521 - 3520| = 1
De 3520 a 3519 = |3520 - 3519| = 1
De 3519 a 3517 = |3519 - 3517| = 2
De 3517 a 3511 = |3517 - 3511| = 6
De 3511 a 3501 = |3511 - 3501| = 10
De 3501 a 3497 = |3501 - 3497| = 4
De 3497 a 3495 = |3497 - 3495| = 2
De 3495 a 3493 = |3495 - 3493| = 2
De 3493 a 3484 = |3493 - 3484| = 9
De 3484 a 3477 = |3484 - 3477| = 7
De 3477 a 3475 = |3477 - 3475| = 2
De 3475 a 3473 = |3475 - 3473| = 2
De 3473 a 3462 = |3473 - 3462| = 11
De 3462 a 3458 = |3462 - 3458| = 4
De 3458 a 3450 = |3458 - 3450| = 8
De 3450 a 3447 = |3450 - 3447| = 3
De 3447 a 3446 = |3447 - 3446| = 1
De 3446 a 3444 = |3446 - 3444| = 2
De 3444 a 3437 = |3444 - 3437| = 7
De 3437 a 3429 = |3437 - 3429| = 8
De 3429 a 3422 = |3429 - 3422| = 7
De 3422 a 3420 = |3422 - 3420| = 2
De 3420 a 3419 = |3420 - 3419| = 1
De 3419 a 3414 = |3419 - 3414| = 5
De 3414 a 3412 = |3414 - 3412| = 2
De 3412 a 3408 = |3412 - 3408| = 4
De 3408 a 3404 = |3408 - 3404| = 4
De 3404 a 3401 = |3404 - 3401| = 3
De 3401 a 3400 = |3401 - 3400| = 1
De 3400 a 3398 = |3400 - 3398| = 2
De 3398 a 3397 = |3398 - 3397| = 1
De 3397 a 3395 = |3397 - 3395| = 2
De 3395 a 3394 = |3395 - 3394| = 1
De 3394 a 3393 = |3394 - 3393| = 1
De 3393 a 3387 = |3393 - 3387| = 6
De 3387 a 3382 = |3387 - 3382| = 5
De 3382 a 3368 = |3382 - 3368| = 14
