De 4217 a 4214 = |4217 - 4214| = 3
De 4214 a 4211 = |4214 - 4211| = 3
De 4211 a 4210 = |4211 - 4210| = 1
De 4210 a 4209 = |4210 - 4209| = 1
De 4209 a 4195 = |4209 - 4195| = 14
De 4195 a 4194 = |4195 - 4194| = 1
De 4194 a 4188 = |4194 - 4188| = 6
De 4188 a 4184 = |4188 - 4184| = 4
De 4184 a 4179 = |4184 - 4179| = 5
De 4179 a 4174 = |4179 - 4174| = 5
De 4174 a 4164 = |4174 - 4164| = 10
De 4164 a 4163 = |4164 - 4163| = 1
De 4163 a 4160 = |4163 - 4160| = 3
De 4160 a 4157 = |4160 - 4157| = 3
De 4157 a 4154 = |4157 - 4154| = 3
De 4154 a 4152 = |4154 - 4152| = 2
De 4152 a 4123 = |4152 - 4123| = 29
De 4123 a 4116 = |4123 - 4116| = 7
De 4116 a 4113 = |4116 - 4113| = 3
De 4113 a 4105 = |4113 - 4105| = 8
De 4105 a 4103 = |4105 - 4103| = 2
De 4103 a 4099 = |4103 - 4099| = 4
De 4099 a 4088 = |4099 - 4088| = 11
De 4088 a 4084 = |4088 - 4084| = 4
De 4084 a 4076 = |4084 - 4076| = 8
De 4076 a 4075 = |4076 - 4075| = 1
De 4075 a 4073 = |4075 - 4073| = 2
De 4073 a 4069 = |4073 - 4069| = 4
De 4069 a 4064 = |4069 - 4064| = 5
De 4064 a 4052 = |4064 - 4052| = 12
De 4052 a 4050 = |4052 - 4050| = 2
De 4050 a 4049 = |4050 - 4049| = 1
De 4049 a 4045 = |4049 - 4045| = 4
De 4045 a 4032 = |4045 - 4032| = 13
De 4032 a 4027 = |4032 - 4027| = 5
De 4027 a 4026 = |4027 - 4026| = 1
De 4026 a 4025 = |4026 - 4025| = 1
De 4025 a 4021 = |4025 - 4021| = 4
De 4021 a 4011 = |4021 - 4011| = 10
De 4011 a 3994 = |4011 - 3994| = 17
De 3994 a 3993 = |3994 - 3993| = 1
De 3993 a 3992 = |3993 - 3992| = 1
De 3992 a 3976 = |3992 - 3976| = 16
De 3976 a 3970 = |3976 - 3970| = 6
De 3970 a 3952 = |3970 - 3952| = 18
De 3952 a 3950 = |3952 - 3950| = 2
De 3950 a 3947 = |3950 - 3947| = 3
De 3947 a 3946 = |3947 - 3946| = 1
De 3946 a 3933 = |3946 - 3933| = 13
De 3933 a 3929 = |3933 - 3929| = 4
De 3929 a 3924 = |3929 - 3924| = 5
De 3924 a 3918 = |3924 - 3918| = 6
De 3918 a 3916 = |3918 - 3916| = 2
De 3916 a 3902 = |3916 - 3902| = 14
De 3902 a 3895 = |3902 - 3895| = 7
De 3895 a 3890 = |3895 - 3890| = 5
De 3890 a 3887 = |3890 - 3887| = 3
De 3887 a 3872 = |3887 - 3872| = 15
De 3872 a 3870 = |3872 - 3870| = 2
De 3870 a 3865 = |3870 - 3865| = 5
De 3865 a 3860 = |3865 - 3860| = 5
De 3860 a 3851 = |3860 - 3851| = 9
De 3851 a 3841 = |3851 - 3841| = 10
De 3841 a 3839 = |3841 - 3839| = 2
De 3839 a 3832 = |3839 - 3832| = 7
De 3832 a 3831 = |3832 - 3831| = 1
De 3831 a 3829 = |3831 - 3829| = 2
De 3829 a 3827 = |3829 - 3827| = 2
De 3827 a 3818 = |3827 - 3818| = 9
De 3818 a 3817 = |3818 - 3817| = 1
De 3817 a 3809 = |3817 - 3809| = 8
De 3809 a 3807 = |3809 - 3807| = 2
De 3807 a 3806 = |3807 - 3806| = 1
De 3806 a 3794 = |3806 - 3794| = 12
De 3794 a 3791 = |3794 - 3791| = 3
De 3791 a 3773 = |3791 - 3773| = 18
De 3773 a 3771 = |3773 - 3771| = 2
De 3771 a 3768 = |3771 - 3768| = 3
